# Program:featureCounts v1.4.6-p3; Command:"./subread-1.4.6-p3-MacOSX-x86_64/bin/featureCounts" "-t" "gene" "-g" "ID" "-F" "GTF" "-T" "4" "-a" "reference.gff" "-o" "counts.txt" "SRR10379721" "SRR10379722" "SRR10379723" "SRR10379724" "SRR10379725" "SRR10379726" 
Geneid	SRR10379721	SRR10379722	SRR10379723	SRR10379724	SRR10379725	SRR10379726
gene-SAOUHSC_00243	217	71	152	66	44	0
gene-SAOUHSC_00244	954	562	876	317	411	16
gene-SAOUHSC_00245	682	524	395	396	420	51
gene-SAOUHSC_00246	3007	2636	1734	1803	1596	201
gene-SAOUHSC_00247	1125	786	701	657	901	138
gene-SAOUHSC_00248	1832	1586	1271	1172	1671	752
gene-SAOUHSC_00249	518	317	336	298	337	27
gene-SAOUHSC_00250	458	275	337	295	345	15
gene-SAOUHSC_00251	587	297	344	270	292	28
gene-SAOUHSC_00253	1923	1088	1529	671	695	33
gene-SAOUHSC_00254	106	71	90	86	66	4
gene-SAOUHSC_00255	481	250	342	194	207	22
gene-SAOUHSC_00256	1849	1317	1348	1021	1224	416
gene-SAOUHSC_00257	4105	3780	2616	2318	3008	1722
gene-SAOUHSC_00258	3940	2959	2830	1159	1195	93
gene-SAOUHSC_00259	664	380	515	142	123	7
gene-SAOUHSC_00260	34	24	38	27	18	0
gene-SAOUHSC_00261	393	204	231	155	157	7
gene-SAOUHSC_00262	2108	1246	1302	918	879	133
gene-SAOUHSC_00264	146	78	104	122	156	16
gene-SAOUHSC_00265	162	108	82	91	75	56
gene-SAOUHSC_00266	233	138	167	111	140	17
gene-SAOUHSC_00267	115	88	77	66	70	21
gene-SAOUHSC_00268	2435	1826	1681	2928	4248	1450
gene-SAOUHSC_00269	1451	957	1032	3418	5177	503
gene-SAOUHSC_00270	420	294	341	713	1019	85
gene-SAOUHSC_00271	251	161	148	398	622	35
gene-SAOUHSC_00272	1345	612	893	472	272	21
gene-SAOUHSC_00274	91	55	66	83	79	12
gene-SAOUHSC_00275	166	142	137	188	354	30
gene-SAOUHSC_00276	167	128	112	162	352	21
gene-SAOUHSC_00277	127	98	82	143	298	41
gene-SAOUHSC_00278	165	75	90	134	199	25
gene-SAOUHSC_00279	1931	1266	1623	607	774	52
gene-SAOUHSC_00280	2677	1579	2100	914	1083	207
gene-SAOUHSC_00281	783	617	617	2571	5262	927
gene-SAOUHSC_00282	9872	6540	4308	12584	13612	1731
gene-SAOUHSC_00284	650	365	411	358	439	46
gene-SAOUHSC_A00283	16	7	8	5	5	0
gene-SAOUHSC_00285	3831	4549	3105	7258	10193	1276
gene-SAOUHSC_00287	3896	4092	2872	7007	10377	2826
gene-SAOUHSC_00289	12	7	10	1	5	0
gene-SAOUHSC_00290	4499	3359	3421	3998	6164	1211
gene-SAOUHSC_00291	370	280	206	487	1099	107
gene-SAOUHSC_00292	493	372	303	563	1286	233
gene-SAOUHSC_00293	986	601	547	777	1227	151
gene-SAOUHSC_00294	3802	3831	2498	1790	1302	228
gene-SAOUHSC_00295	2028	2399	1413	1622	1203	192
gene-SAOUHSC_00296	1245	1116	890	1066	1788	519
gene-SAOUHSC_00297	2298	1791	1439	2897	4128	822
gene-SAOUHSC_00298	2725	2327	1826	1054	1260	276
gene-SAOUHSC_00299	659	460	427	490	885	65
gene-SAOUHSC_00300	72129	62264	51582	44537	60419	23535
gene-SAOUHSC_00301	1641	1123	1041	1951	2210	363
gene-SAOUHSC_00302	1278	809	826	1541	1915	426
gene-SAOUHSC_00303	84	44	50	40	75	5
gene-SAOUHSC_00304	739	461	397	474	584	116
gene-SAOUHSC_00305	252	180	150	145	239	37
gene-SAOUHSC_00306	618	440	359	386	423	78
gene-SAOUHSC_00307	690	444	354	414	551	135
gene-SAOUHSC_00308	835	533	473	461	757	170
gene-SAOUHSC_00309	3436	3312	2140	8373	9004	3315
gene-SAOUHSC_00310	2554	3079	1774	2294	1771	425
gene-SAOUHSC_00311	392	556	311	455	316	111
gene-SAOUHSC_00312	690	920	433	783	431	90
gene-SAOUHSC_00313	2703	3496	1896	6040	2614	547
gene-SAOUHSC_00314	10147	8120	5936	4290	5008	513
gene-SAOUHSC_00315	5548	4518	3214	602	606	49
gene-SAOUHSC_00316	2141	1534	1405	365	430	29
gene-SAOUHSC_00317	4349	3313	2788	4085	9118	1864
gene-SAOUHSC_00318	937	893	810	1370	2547	587
gene-SAOUHSC_00319	2599	2030	2115	2526	4378	1465
gene-SAOUHSC_00320	1665	1257	1219	1277	2029	308
gene-SAOUHSC_00322	525	394	322	840	852	193
gene-SAOUHSC_00323	144	70	94	62	73	48
gene-SAOUHSC_00324	661	466	382	2946	7538	1211
gene-SAOUHSC_00325	315	170	195	238	588	29
gene-SAOUHSC_00326	811	535	558	343	738	227
gene-SAOUHSC_00327	1461	836	1035	534	888	120
gene-SAOUHSC_00328	1531	1252	950	2794	5766	877
gene-SAOUHSC_00329	771	582	389	1410	3499	498
gene-SAOUHSC_00330	943	584	454	2124	5122	225
gene-SAOUHSC_00331	200	152	177	78	158	16
gene-SAOUHSC_00332	1313	902	1104	576	734	74
gene-SAOUHSC_00333	2753	1827	2297	1000	1382	216
gene-SAOUHSC_00334	3781	2315	2920	2195	2637	265
gene-SAOUHSC_00335	928	570	640	1941	2603	122
gene-SAOUHSC_A00332	429	538	288	988	962	24
