"GeneID";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"GeneName";"aaRS";"color"
"SAOUHSC_01767";27312,9370616068;-1,49357222510169;0,236582276231892;-6,31311968457741;2,7346583983087e-10;2,50982910046118e-09;"valS";TRUE;"red"
"SAOUHSC_01784";14752,6234098926;1,67730002426554;0,198628734313308;8,44439768528071;3,05617105542943e-17;6,85133429229467e-16;"rplT";FALSE;"red"
"SAOUHSC_01785";13157,5900611603;1,96186431855221;0,321657906887427;6,0992261546949;1,06583184936721e-09;8,94187149699178e-09;"rpmI";FALSE;"red"
"SAOUHSC_01786";22072,2385399123;1,57547042601978;0,241047498630938;6,53593351919387;6,3213992334421e-11;6,57377448800918e-10;"infC";FALSE;"red"
"SAOUHSC_01788";23349,5682017851;-3,2127616803522;0,432085069533047;-7,43548413701084;1,04185670254769e-13;1,60987462229827e-12;"thrS";TRUE;"red"
"SAOUHSC_01829";42884,5433003434;0,730541854436956;0,280165479535621;2,60753700151725;0,00911962135643551;0,0190980161405996;"rpsD";FALSE;"red"
"SAOUHSC_01839";887,544952048806;-0,509629111051457;0,222683690840217;-2,28857851748619;0,022103853261019;0,0421576280815112;"tyrS";TRUE;"red"
"SAOUHSC_01875";4437,50609962136;-1,27070444635983;0,37121263390282;-3,42311745427417;0,000619073212214285;0,00175821935140817;"leuS";TRUE;"red"
"SAOUHSC_02116";14973,1571218268;-0,580726782416719;0,305348935204381;-1,90184643030773;0,0571912342527902;0,0956100401475435;"gatB";FALSE;"grey"
"SAOUHSC_02117";5950,13985895327;-0,505991118696978;0,295958395519421;-1,70966975884884;0,0873269579143167;0,138013691129755;"gatA";FALSE;"grey"
"SAOUHSC_02118";592,539908072261;-0,528739681952688;0,354439411557976;-1,49176323148872;0,135761226102361;0,200923676076817;"gatC";FALSE;"grey"
